Scaling,Scaling_Label,Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
linear,Linear,63,3mo,0.6,60%,33.16569975775687,13.182145363206729,2.0895995528262103,-25.542165409402926
linear,Linear,63,3mo,0.65,65%,32.868652784906004,13.451887998848171,2.0337420973697418,-25.705811628873317
linear,Linear,63,3mo,0.7,70%,32.72395878048546,13.718574863540574,1.988891580758149,-26.311607954266115
linear,Linear,63,3mo,0.75,75%,32.710983973047746,14.037987815350602,1.946107438900679,-26.948900769533257
linear,Linear,63,3mo,0.8,80%,32.1021047197376,14.366820312759558,1.872802610728344,-27.131699591508884
linear,Linear,63,3mo,0.85,85%,31.312303413988076,14.804806509329202,1.7811692338261202,-27.131699591508923
linear,Linear,63,3mo,0.9,90%,29.909116332019604,15.40872824943731,1.6473088995366583,-27.131699591508884
linear,Linear,63,3mo,0.95,95%,27.714376994940903,16.006794298983117,1.48499647492889,-27.1316995915089
linear,Linear,126,6mo,0.6,60%,30.239919824636942,12.693024632064626,1.989957137651443,-26.580583515011323
linear,Linear,126,6mo,0.65,65%,29.865594479987934,12.978488444664912,1.9268119505542878,-26.86326385175397
linear,Linear,126,6mo,0.7,70%,29.692418245447747,13.271007502474442,1.8771745101989425,-27.016347630898885
linear,Linear,126,6mo,0.75,75%,29.336825644892393,13.56972220965462,1.8185534844850748,-27.13169959150893
linear,Linear,126,6mo,0.8,80%,28.58999830126352,13.96658494028912,1.7292842113198132,-27.131699591508873
linear,Linear,126,6mo,0.85,85%,27.62052903212153,14.3991540481042,1.6289757506626914,-27.131699591508923
linear,Linear,126,6mo,0.9,90%,26.65623517220559,14.90803307565906,1.5274823872685308,-27.131699591508905
linear,Linear,126,6mo,0.95,95%,24.46821384451454,15.797174807731935,1.3395786966140353,-27.131699591508873
linear,Linear,189,9mo,0.6,60%,29.80355505124912,12.20011355285316,2.0377761730302693,-21.135610499002325
linear,Linear,189,9mo,0.65,65%,29.216140473082785,12.523068757175523,1.952166020102508,-23.149732364771587
linear,Linear,189,9mo,0.7,70%,28.679543791168637,12.849125347209112,1.8734371492766988,-24.884444327431204
linear,Linear,189,9mo,0.75,75%,28.1999230667342,13.204519008476872,1.798224887913072,-26.778101918157844
linear,Linear,189,9mo,0.8,80%,27.94377368741612,13.560647686081087,1.7397562949430756,-27.003442672933982
linear,Linear,189,9mo,0.85,85%,26.84858545052502,13.98846475168084,1.6292490639793078,-27.13169959150893
linear,Linear,189,9mo,0.9,90%,25.627123437175392,14.557508301011662,1.5045996117803597,-27.1316995915089
linear,Linear,189,9mo,0.95,95%,23.08894719826977,15.405603143952925,1.2974717516059109,-27.131699591508895
linear,Linear,252,1yr,0.6,60%,29.512114059259442,11.86635939457209,2.0727418010556415,-17.407727438141848
linear,Linear,252,1yr,0.65,65%,28.989911165266967,12.181421627636029,1.9890476892881448,-19.511909999513584
linear,Linear,252,1yr,0.7,70%,28.518573455744665,12.520178658659429,1.9093074329535757,-20.941671479905704
linear,Linear,252,1yr,0.75,75%,27.77821628533641,12.898755477595824,1.8121753557535523,-23.69897211288223
linear,Linear,252,1yr,0.8,80%,27.04125947678664,13.326754831404303,1.7147569792337343,-26.488757056581203
linear,Linear,252,1yr,0.85,85%,26.546578491592342,13.775778749013298,1.6349346980593051,-27.00082292452926
linear,Linear,252,1yr,0.9,90%,25.299180426498637,14.341904348242865,1.5068157754767193,-27.131699591508895
linear,Linear,252,1yr,0.95,95%,22.36222639729677,15.19904954374048,1.2740159865640053,-27.13169959150895
linear,Linear,315,15mo,0.6,60%,29.5194139617768,11.57143034509968,2.1231105663047654,-13.367688342964643
linear,Linear,315,15mo,0.65,65%,29.533862753235617,11.936603249598756,2.0626546783686166,-14.997212990331215
linear,Linear,315,15mo,0.7,70%,28.877213905669976,12.31465725046775,1.9617334969871614,-18.80516971159244
linear,Linear,315,15mo,0.75,75%,28.080823288680314,12.719682730015178,1.8544741670339167,-20.290485282684653
linear,Linear,315,15mo,0.8,80%,26.74500657755243,13.174232949340617,1.7153161435110893,-23.63182014715389
linear,Linear,315,15mo,0.85,85%,25.339164497691602,13.663170911857597,1.5770446781156906,-26.761512407558897
linear,Linear,315,15mo,0.9,90%,24.225317637291766,14.21822961843964,1.4581008310458685,-27.131699591508895
linear,Linear,315,15mo,0.95,95%,21.799929271482377,15.18803385692172,1.2444698596872295,-27.131699591508863
linear,Linear,378,18mo,0.6,60%,29.33643416616494,11.532363697846568,2.117627610403352,-12.797328286517864
linear,Linear,378,18mo,0.65,65%,28.801110580828283,11.861036403268276,2.0271830957089643,-13.262875825587054
linear,Linear,378,18mo,0.7,70%,28.036232159858777,12.248982620088588,1.9180983281633952,-14.65090083034978
linear,Linear,378,18mo,0.75,75%,27.032821931491814,12.70761971272418,1.791399205072219,-18.829582074386888
linear,Linear,378,18mo,0.8,80%,26.096241079666683,13.145627033621116,1.6796860200631551,-20.841555523503555
linear,Linear,378,18mo,0.85,85%,25.12388313875984,13.615714427912234,1.5694232988480883,-24.775093335778887
linear,Linear,378,18mo,0.9,90%,23.80874841585674,14.200276370862246,1.43608871742517,-26.997771451150697
linear,Linear,378,18mo,0.95,95%,21.440838028198673,15.122283945580042,1.229675594831279,-27.131699591508895
sigmoid,Sigmoid,63,3mo,0.6,60%,30.22325923053508,12.422216006474207,2.029568513269799,-24.610423627863696
sigmoid,Sigmoid,63,3mo,0.65,65%,29.896239321609098,12.65871818703844,1.9741040756347603,-24.710517316133597
sigmoid,Sigmoid,63,3mo,0.7,70%,29.67799012065402,12.862526977755278,1.9317626545271984,-25.012445799983222
sigmoid,Sigmoid,63,3mo,0.75,75%,29.469934143171095,13.115272937089156,1.8847953273517786,-25.312999195189356
sigmoid,Sigmoid,63,3mo,0.8,80%,28.955214009333694,13.381735949414935,1.8201254949185968,-25.384646068141688
sigmoid,Sigmoid,63,3mo,0.85,85%,28.349139041162275,13.74336790992616,1.7414736498581533,-25.384646068141727
sigmoid,Sigmoid,63,3mo,0.9,90%,26.917173372834526,14.261798348360886,1.6043697250846543,-25.384646068141652
sigmoid,Sigmoid,63,3mo,0.95,95%,25.061335687181852,14.79240772336777,1.452264498243261,-25.3846460681417
sigmoid,Sigmoid,126,6mo,0.6,60%,27.599473549772725,11.929560497877196,1.9375938277816,-25.13084406335147
sigmoid,Sigmoid,126,6mo,0.65,65%,27.21175311308903,12.162067693953631,1.8778092526032728,-25.273138595200006
sigmoid,Sigmoid,126,6mo,0.7,70%,27.102283488978163,12.40945304371037,1.8358833912391674,-25.34066864783836
sigmoid,Sigmoid,126,6mo,0.75,75%,26.72669221003443,12.66089350429006,1.7785175199885592,-25.38464606814165
sigmoid,Sigmoid,126,6mo,0.8,80%,26.02318545419657,13.03161453291321,1.6888165855181925,-25.38464606814172
sigmoid,Sigmoid,126,6mo,0.85,85%,25.07027195475495,13.403211476115064,1.5889783084860656,-25.38464606814172
sigmoid,Sigmoid,126,6mo,0.9,90%,24.038320303165193,13.817728988909911,1.48541113619843,-25.384646068141688
sigmoid,Sigmoid,126,6mo,0.95,95%,22.25136904690097,14.575348997779178,1.3157824759035783,-25.384646068141674
sigmoid,Sigmoid,189,9mo,0.6,60%,27.200537494628364,11.522377223582438,1.9747108094355967,-21.746112758498896
sigmoid,Sigmoid,189,9mo,0.65,65%,26.574330333728867,11.785435497930816,1.8913301414583907,-23.29664212342812
sigmoid,Sigmoid,189,9mo,0.7,70%,26.068178332306992,12.040845845361188,1.8204358505716463,-24.254401423069016
sigmoid,Sigmoid,189,9mo,0.75,75%,25.621062752941228,12.321852359025348,1.7528446645390874,-25.230605719096555
sigmoid,Sigmoid,189,9mo,0.8,80%,25.334551901967096,12.624355033816052,1.695730053280043,-25.335393666945
sigmoid,Sigmoid,189,9mo,0.85,85%,24.509309126051427,12.987830274216169,1.6009481666771983,-25.384646068141702
sigmoid,Sigmoid,189,9mo,0.9,90%,23.41562112879183,13.514551025995253,1.4783739347886704,-25.384646068141688
sigmoid,Sigmoid,189,9mo,0.95,95%,21.045596312366488,14.229784333691223,1.2747001266067906,-25.38464606814169
sigmoid,Sigmoid,252,1yr,0.6,60%,27.015453308401515,11.223348962189016,2.0112977766722793,-17.79437975826817
sigmoid,Sigmoid,252,1yr,0.65,65%,26.484600007965177,11.48944237947896,1.930867240353815,-19.900738323649275
sigmoid,Sigmoid,252,1yr,0.7,70%,25.935052343094256,11.771732760011224,1.850336250972627,-21.57380885079473
sigmoid,Sigmoid,252,1yr,0.75,75%,25.164227866867694,12.074194105531769,1.7560870316345452,-23.602244992832556
sigmoid,Sigmoid,252,1yr,0.8,80%,24.565571923162555,12.414716304390176,1.6726318425722686,-25.080023146262526
sigmoid,Sigmoid,252,1yr,0.85,85%,24.115187403810488,12.79730845596072,1.5980654806139478,-25.33431377926115
sigmoid,Sigmoid,252,1yr,0.9,90%,23.192942389799743,13.306735530104104,1.4857854727902666,-25.38464606814167
sigmoid,Sigmoid,252,1yr,0.95,95%,20.43526231668549,14.051422139933011,1.2530875707927764,-25.384646068141674
sigmoid,Sigmoid,315,15mo,0.6,60%,27.169167819478957,10.96245272322774,2.0675878555859573,-13.077151568202991
sigmoid,Sigmoid,315,15mo,0.65,65%,27.101504909708684,11.269021771413254,2.00961057986718,-15.093939836109868
sigmoid,Sigmoid,315,15mo,0.7,70%,26.376460985197326,11.593981363280806,1.9071016919256154,-19.171935340863005
sigmoid,Sigmoid,315,15mo,0.75,75%,25.50330253026072,11.932783645897329,1.7981442744806637,-20.87034882490357
sigmoid,Sigmoid,315,15mo,0.8,80%,24.31079089665229,12.301702128058785,1.6701920675612207,-23.55690742903974
sigmoid,Sigmoid,315,15mo,0.85,85%,23.04067582450624,12.692541647232252,1.541643532538578,-25.221881337099088
sigmoid,Sigmoid,315,15mo,0.9,90%,22.149107934762856,13.17171197355855,1.43501534380781,-25.38464606814162
sigmoid,Sigmoid,315,15mo,0.95,95%,19.994383500999934,14.03733231670967,1.228050876082913,-25.38464606814167
sigmoid,Sigmoid,378,18mo,0.6,60%,27.005357085164338,10.939342604900292,2.059922878354293,-12.360762675830964
sigmoid,Sigmoid,378,18mo,0.65,65%,26.496276705403908,11.209586330570657,1.977065780729597,-12.943026596337937
sigmoid,Sigmoid,378,18mo,0.7,70%,25.665857403162473,11.538300650407491,1.8668280902479402,-14.673927787730504
sigmoid,Sigmoid,378,18mo,0.75,75%,24.633353447827133,11.931613456461044,1.7399600507477697,-19.202033060469077
sigmoid,Sigmoid,378,18mo,0.8,80%,23.717342854342593,12.300080496174868,1.6314549553499496,-21.483138576035007
sigmoid,Sigmoid,378,18mo,0.85,85%,22.843936101954654,12.666504133442563,1.5319039305621094,-24.18128574386913
sigmoid,Sigmoid,378,18mo,0.9,90%,21.787512688425046,13.155651519363659,1.4140524022110754,-25.333052059718415
sigmoid,Sigmoid,378,18mo,0.95,95%,19.717075003887796,13.989300333694887,1.2152252390205884,-25.38464606814167
exponential,Exp,63,3mo,0.6,60%,37.951294629121634,12.031989644815354,2.5710576072077553,-21.378205329633104
exponential,Exp,63,3mo,0.65,65%,38.030402338449385,12.314584940463288,2.519514499413439,-21.805431411657707
exponential,Exp,63,3mo,0.7,70%,38.5282617823977,12.70136689838885,2.4749498365865135,-23.947548537474525
exponential,Exp,63,3mo,0.75,75%,39.62497895771755,13.176999383677563,2.4501859230202565,-26.31001118159628
exponential,Exp,63,3mo,0.8,80%,38.83939691978975,13.62406751563729,2.3327599678497624,-27.13169959150888
exponential,Exp,63,3mo,0.85,85%,37.57232742587284,14.217440510855337,2.176725713067307,-27.13169959150889
exponential,Exp,63,3mo,0.9,90%,36.900290024786145,14.9546094776038,2.0436529850002794,-27.13169959150888
exponential,Exp,63,3mo,0.95,95%,33.39767289543132,15.597747317796701,1.7992968176900555,-27.131699591508884
exponential,Exp,126,6mo,0.6,60%,32.955157194889,11.70926112709154,2.323273837970743,-25.03663644713383
exponential,Exp,126,6mo,0.65,65%,32.82203300440094,12.080776737050892,2.247186144757544,-26.00140308642553
exponential,Exp,126,6mo,0.7,70%,32.67786860263171,12.44478071154058,2.1763195929389516,-26.596676551077508
exponential,Exp,126,6mo,0.75,75%,33.01884506953516,12.834971828224806,2.134026629195135,-27.131699591508895
exponential,Exp,126,6mo,0.8,80%,33.51759780502983,13.219379270071526,2.1041007696003224,-27.131699591508895
exponential,Exp,126,6mo,0.85,85%,33.33996486694515,13.715085322333284,2.0231698808845318,-27.131699591508912
exponential,Exp,126,6mo,0.9,90%,32.15568729397671,14.39149922265457,1.872633431363358,-27.131699591508905
exponential,Exp,126,6mo,0.95,95%,28.199657027290638,15.477273578157662,1.5550843795074185,-27.131699591508944
exponential,Exp,189,9mo,0.6,60%,32.00713965804272,11.059890699794824,2.3882039045272627,-13.272007130604468
exponential,Exp,189,9mo,0.65,65%,32.09359597309147,11.468968839797657,2.3127615385425893,-13.762696460217864
exponential,Exp,189,9mo,0.7,70%,31.80134795007994,11.97300362116567,2.2018261634530982,-18.91920950615095
exponential,Exp,189,9mo,0.75,75%,31.55908410632979,12.49383195205972,2.100414790778819,-25.718717563826175
exponential,Exp,189,9mo,0.8,80%,31.497652208323636,12.914934456883751,2.0324623191132436,-26.54172808794811
exponential,Exp,189,9mo,0.85,85%,30.636412314974915,13.446026908543383,1.9084819377583107,-27.131699591508852
exponential,Exp,189,9mo,0.9,90%,30.263531392374254,14.023864174382252,1.815070455458311,-27.131699591508863
exponential,Exp,189,9mo,0.95,95%,26.452999310813972,15.056401683962765,1.5032766489857858,-27.13169959150888
exponential,Exp,252,1yr,0.6,60%,31.17556607181786,10.760124106248805,2.3929316419297164,-10.756263873528491
exponential,Exp,252,1yr,0.65,65%,31.149066908730404,11.124536574141612,2.316308012195335,-12.842108856074653
exponential,Exp,252,1yr,0.7,70%,31.28324921548302,11.535374754816038,2.2467140720517245,-13.641341616922736
exponential,Exp,252,1yr,0.75,75%,31.067989130842477,12.041513781336501,2.1435967219346406,-14.864110672093744
exponential,Exp,252,1yr,0.8,80%,29.987073577207735,12.681492236631772,1.9763135009326385,-24.750460206248768
exponential,Exp,252,1yr,0.85,85%,29.41230484680122,13.218772447851451,1.8676902806329079,-26.530687115709696
exponential,Exp,252,1yr,0.9,90%,28.692074996742978,13.824270034485723,1.751412958463579,-27.13169959150892
exponential,Exp,252,1yr,0.95,95%,26.203090337819155,14.809762941289362,1.5123714118883185,-27.13169959150889
exponential,Exp,315,15mo,0.6,60%,29.70864722660178,10.41920283943616,2.359791909758565,-9.24495662179374
exponential,Exp,315,15mo,0.65,65%,30.65946514912261,10.875261667842972,2.33249294996138,-9.690584905575887
exponential,Exp,315,15mo,0.7,70%,30.8147959257828,11.338404725897409,2.252193187135406,-11.585540321252413
exponential,Exp,315,15mo,0.75,75%,30.528960243067328,11.818576282971332,2.146851872356061,-13.402622429248062
exponential,Exp,315,15mo,0.8,80%,29.585466569703932,12.421992656248865,1.990006767052849,-14.683182437167805
exponential,Exp,315,15mo,0.85,85%,28.262053989668967,13.127698590947343,1.8116467135983079,-25.66724931522197
exponential,Exp,315,15mo,0.9,90%,26.987338984582365,13.787264637031315,1.6589339702744053,-27.1316995915089
exponential,Exp,315,15mo,0.95,95%,25.01882044596615,14.818194607920073,1.4479015233041903,-27.13169959150892
exponential,Exp,378,18mo,0.6,60%,29.34254161153458,10.332964669537196,2.351219170979893,-9.974312066032944
exponential,Exp,378,18mo,0.65,65%,29.376599852982398,10.758763598781536,2.2647834241767217,-9.974312066033054
exponential,Exp,378,18mo,0.7,70%,29.6758246094198,11.236250692039356,2.193777013011886,-9.974312066033027
exponential,Exp,378,18mo,0.75,75%,29.0457469198379,11.790241165467055,2.0547102813615847,-12.245718422517054
exponential,Exp,378,18mo,0.8,80%,28.72923649724859,12.301703123730611,1.9543109186198389,-14.028907632773189
exponential,Exp,378,18mo,0.85,85%,27.94182899744664,12.994425867818189,1.809625900849117,-18.63152979993905
exponential,Exp,378,18mo,0.9,90%,26.344322661433004,13.757540924358654,1.6252769695596538,-26.517874635615428
exponential,Exp,378,18mo,0.95,95%,24.350567982391613,14.704176524286774,1.421530656179235,-27.131699591508944
power,Power,63,3mo,0.6,60%,30.062756694563486,14.157745109422294,1.7883554188977853,-26.89914936877404
power,Power,63,3mo,0.65,65%,29.565580638939835,14.375697951035313,1.7367367634606623,-26.943673447009235
power,Power,63,3mo,0.7,70%,29.21070252887228,14.542020343952125,1.6996559415214039,-27.04015915285981
power,Power,63,3mo,0.75,75%,28.866510347621933,14.7669915351689,1.657925128465239,-27.123759649701874
power,Power,63,3mo,0.8,80%,28.407312354195557,15.018324240018666,1.6088803189577217,-27.1316995915089
power,Power,63,3mo,0.85,85%,27.797011467075492,15.356643457648248,1.5456718116261519,-27.131699591508934
power,Power,63,3mo,0.9,90%,26.30018508322096,15.771601214034664,1.4341972506119978,-27.13169959150892
power,Power,63,3mo,0.95,95%,24.88451222966368,16.37603008180562,1.3181265290384911,-27.1316995915089
power,Power,126,6mo,0.6,60%,28.560029744890247,13.52957116022037,1.7789921656173893,-27.06641673635287
power,Power,126,6mo,0.65,65%,28.102643499449243,13.73256119524939,1.7287324905427348,-27.112714971966124
power,Power,126,6mo,0.7,70%,27.745817239659566,13.992936476728811,1.6792093459050847,-27.12819418238461
power,Power,126,6mo,0.75,75%,27.057318281993403,14.246029627022672,1.6139119103418658,-27.131699591508895
power,Power,126,6mo,0.8,80%,25.72419398440251,14.634783301611076,1.5027390634055575,-28.023132597946837
power,Power,126,6mo,0.85,85%,24.570961448605,14.963629676143475,1.4113415441286234,-30.066811328181757
power,Power,126,6mo,0.9,90%,24.067133767162762,15.358561988791184,1.352551146244418,-28.827008517637058
power,Power,126,6mo,0.95,95%,22.665207128594812,16.03353730899643,1.2310995927682122,-27.13169959150889
power,Power,189,9mo,0.6,60%,28.35202875425957,13.176640021872398,1.810757683950354,-25.599726596913875
power,Power,189,9mo,0.65,65%,27.572238863482124,13.388586912133743,1.7386464927938767,-26.415318938687115
power,Power,189,9mo,0.7,70%,26.972731015746287,13.592747354248322,1.6798768240454975,-26.77751851764742
power,Power,189,9mo,0.75,75%,26.412962085379665,13.829889901925633,1.6214503028868834,-27.09875702064528
power,Power,189,9mo,0.8,80%,26.020763271071722,14.140140797190378,1.566960736467271,-27.127365948374315
power,Power,189,9mo,0.85,85%,24.69745158325285,14.536688126606345,1.4554336704628967,-27.13169959150888
power,Power,189,9mo,0.9,90%,23.052512807375525,15.04001907207366,1.3233268862626488,-28.213252075895944
power,Power,189,9mo,0.95,95%,21.492359162237108,15.743994640637048,1.1899173536203689,-27.131699591508912
power,Power,252,1yr,0.6,60%,28.318134532619865,12.910679642660503,1.8433057123957513,-22.86865277651053
power,Power,252,1yr,0.65,65%,27.620640545405717,13.127273129350153,1.773489151054294,-24.269606632209424
power,Power,252,1yr,0.7,70%,26.983187224360748,13.36963636761785,1.7062629463977284,-25.50027166927264
power,Power,252,1yr,0.75,75%,26.18771716410384,13.616652738159733,1.6315769745700517,-26.53314496991123
power,Power,252,1yr,0.8,80%,25.575876207636973,13.902317482313444,1.5658889812842223,-27.047110315797052
power,Power,252,1yr,0.85,85%,24.985589168251842,14.293240173875049,1.4939362610052764,-27.127187098313026
power,Power,252,1yr,0.9,90%,23.301415208465336,14.829414584305272,1.353621610146433,-27.1316995915089
power,Power,252,1yr,0.95,95%,20.514753004217546,15.554097167003448,1.15059343529238,-27.13169959150888
power,Power,315,15mo,0.6,60%,28.954500836677035,12.706554644138166,1.909830987973759,-19.573753278428217
power,Power,315,15mo,0.65,65%,28.54066925357024,12.964699772239996,1.8495258945110786,-21.119473943731347
power,Power,315,15mo,0.7,70%,27.652922969264626,13.231324211493444,1.7624771350256034,-23.715357033004832
power,Power,315,15mo,0.75,75%,26.728144331392944,13.512812594909118,1.6747011790487982,-25.028441880812878
power,Power,315,15mo,0.8,80%,25.240728322658423,13.813319246033725,1.5557096067352039,-26.511713706244695
power,Power,315,15mo,0.85,85%,23.865582219945857,14.158817355163148,1.4431296649136394,-27.095593140462103
power,Power,315,15mo,0.9,90%,22.719929340434074,14.663300930869402,1.3350314786346296,-27.13169959150889
power,Power,315,15mo,0.95,95%,20.193554973028416,15.550528841028937,1.133656382306723,-27.131699591508884
power,Power,378,18mo,0.6,60%,28.744724928298115,12.729312295602577,1.8938342491216793,-18.965984173742516
power,Power,378,18mo,0.65,65%,27.979517208922555,12.947888085843468,1.817943921205203,-19.470003017832617
power,Power,378,18mo,0.7,70%,26.791686168901418,13.237653641381787,1.7105028895755485,-20.835636796934065
power,Power,378,18mo,0.75,75%,25.830313171837105,13.556429741619125,1.617253565991023,-23.773498499246738
power,Power,378,18mo,0.8,80%,24.66531701224848,13.861736951550563,1.5175080837388923,-25.447273262326053
power,Power,378,18mo,0.85,85%,23.680417205768766,14.159713230068554,1.4324702872874482,-26.74330047737414
power,Power,378,18mo,0.9,90%,22.422085043270144,14.646472056509849,1.3197933010911622,-27.126974214734567
power,Power,378,18mo,0.95,95%,19.841937217749717,15.511767748421827,1.1171875324999458,-27.13169959150892
